Index,System Time,Time Stamp,Channel,Direction,Frame ID,Type,Format,DLC,Data
01268,="12:36:58.712",0x70E9EF,ch1,Receive,0x0060,Data,Standard,0x08,x| 01 00 00 00 00 00 00 00 
01269,="12:36:58.742",0x70EAD3,ch1,Receive,0x0000,Data,Standard,0x08,x| 00 00 00 00 00 00 00 00 
01270,="12:36:58.771",0x70EB57,ch1,Receive,0x0040,Data,Standard,0x08,x| 00 01 00 00 00 00 00 00 
01271,="12:36:58.771",0x70EBB9,ch1,Receive,0x04CA,Data,Standard,0x08,x| 00 01 01 00 00 00 00 00 
01272,="12:36:58.771",0x70EBD7,ch1,Receive,0x0080,Data,Standard,0x08,x| 1D 07 04 B2 06 C8 00 00 
01273,="12:36:58.771",0x70EBE2,ch1,Receive,0x0060,Data,Standard,0x08,x| 01 00 00 00 00 00 00 00 
01274,="12:36:58.801",0x70ECC6,ch1,Receive,0x0000,Data,Standard,0x08,x| 00 00 00 00 00 00 00 00 
01275,="12:36:58.801",0x70ED55,ch1,Receive,0x0040,Data,Standard,0x08,x| 00 01 00 00 00 00 00 00 
01276,="12:36:58.831",0x70EDCB,ch1,Receive,0x0080,Data,Standard,0x08,x| 1D 08 00 00 19 19 00 00 
01277,="12:36:58.831",0x70EDD6,ch1,Receive,0x0060,Data,Standard,0x08,x| 01 00 00 00 00 00 00 00 
01278,="12:36:58.831",0x70EE7E,ch1,Receive,0x04CA,Data,Standard,0x08,x| 01 01 01 00 00 00 00 00 
01279,="12:36:58.831",0x70EEBA,ch1,Receive,0x0000,Data,Standard,0x08,x| 00 00 00 00 00 00 00 00 
01280,="12:36:58.861",0x70EF52,ch1,Receive,0x0040,Data,Standard,0x08,x| 00 01 00 00 00 00 00 00 
01281,="12:36:58.861",0x70EFBE,ch1,Receive,0x0080,Data,Standard,0x08,x| 1D 09 10 02 1B 02 0B 00 
01282,="12:36:58.861",0x70EFC9,ch1,Receive,0x0060,Data,Standard,0x08,x| 01 00 00 00 00 00 00 00 
01283,="12:36:58.892",0x70F0AD,ch1,Receive,0x0000,Data,Standard,0x08,x| 00 00 00 00 00 00 00 00 
01284,="12:36:58.922",0x70F143,ch1,Receive,0x04CA,Data,Standard,0x08,x| 02 01 01 00 00 00 00 00 
01285,="12:36:58.922",0x70F150,ch1,Receive,0x0040,Data,Standard,0x08,x| 00 01 00 00 00 00 00 00 
01286,="12:36:58.922",0x70F1B2,ch1,Receive,0x0080,Data,Standard,0x08,x| 1D 0A 00 00 00 00 78 00 
01287,="12:36:58.922",0x70F1BC,ch1,Receive,0x0060,Data,Standard,0x08,x| 01 00 00 00 00 00 00 00 
01288,="12:36:58.951",0x70F2A1,ch1,Receive,0x0000,Data,Standard,0x08,x| 00 00 00 00 00 00 00 00 
01289,="12:36:58.951",0x70F34D,ch1,Receive,0x0040,Data,Standard,0x08,x| 00 01 00 00 00 00 00 00 
01290,="12:36:58.981",0x70F3A5,ch1,Receive,0x0080,Data,Standard,0x08,x| 1D 01 20 00 00 81 7E 50 
01291,="12:36:58.981",0x70F3B0,ch1,Receive,0x0060,Data,Standard,0x08,x| 01 00 00 00 00 00 00 00 
01292,="12:36:58.981",0x70F408,ch1,Receive,0x04CA,Data,Standard,0x08,x| 03 01 00 00 00 00 00 00 
01293,="12:36:58.981",0x70F494,ch1,Receive,0x0000,Data,Standard,0x08,x| 00 00 00 00 00 00 00 00 
01294,="12:36:59.011",0x70F54B,ch1,Receive,0x0040,Data,Standard,0x08,x| 00 01 00 00 00 00 00 00 
01295,="12:36:59.011",0x70F598,ch1,Receive,0x0080,Data,Standard,0x08,x| 1D 02 30 20 4A 92 24 49 
01296,="12:36:59.011",0x70F5A3,ch1,Receive,0x0060,Data,Standard,0x08,x| 01 00 00 00 00 00 00 00 
01297,="12:36:59.041",0x70F687,ch1,Receive,0x0000,Data,Standard,0x08,x| 00 00 00 00 00 00 00 00 
01298,="12:36:59.041",0x70F6CD,ch1,Receive,0x04CA,Data,Standard,0x08,x| 04 01 00 00 00 00 00 00 
01299,="12:36:59.072",0x70F747,ch1,Receive,0x0040,Data,Standard,0x08,x| 00 01 00 00 00 00 00 00 
01300,="12:36:59.072",0x70F78C,ch1,Receive,0x0080,Data,Standard,0x08,x| 1D 03 00 00 01 00 07 85 
01301,="12:36:59.072",0x70F796,ch1,Receive,0x0060,Data,Standard,0x08,x| 01 00 00 00 00 00 00 00 
01302,="12:36:59.072",0x70F7A0,ch1,Receive,0x03C9,Data,Standard,0x05,x| 00 30 61 1E 64 
01303,="12:36:59.101",0x70F87B,ch1,Receive,0x0000,Data,Standard,0x08,x| 00 00 00 00 00 00 00 00 
01304,="12:36:59.101",0x70F945,ch1,Receive,0x0040,Data,Standard,0x08,x| 00 01 00 00 00 00 00 00 
01305,="12:36:59.131",0x70F97F,ch1,Receive,0x0080,Data,Standard,0x08,x| 1D 04 78 78 00 00 D8 00 
01306,="12:36:59.131",0x70F98A,ch1,Receive,0x0060,Data,Standard,0x08,x| 01 00 00 00 00 00 00 00 
01307,="12:36:59.131",0x70FA6E,ch1,Receive,0x0000,Data,Standard,0x08,x| 00 00 00 00 00 00 00 00 
01308,="12:36:59.161",0x70FB42,ch1,Receive,0x0040,Data,Standard,0x08,x| 00 01 00 00 00 00 00 00 
01309,="12:36:59.161",0x70FB73,ch1,Receive,0x0080,Data,Standard,0x08,x| 1D 05 00 00 00 00 00 00 
01310,="12:36:59.161",0x70FB7D,ch1,Receive,0x0060,Data,Standard,0x08,x| 01 00 00 00 00 00 00 00 
01311,="12:36:59.191",0x70FC61,ch1,Receive,0x0000,Data,Standard,0x08,x| 00 00 00 00 00 00 00 00 
01312,="12:36:59.222",0x70FD3F,ch1,Receive,0x0040,Data,Standard,0x08,x| 00 01 00 00 00 00 00 00 
01313,="12:36:59.222",0x70FD66,ch1,Receive,0x0080,Data,Standard,0x08,x| 1D 06 02 00 04 BB 02 00 
01314,="12:36:59.222",0x70FD71,ch1,Receive,0x0060,Data,Standard,0x08,x| 01 00 00 00 00 00 00 00 
01315,="12:36:59.252",0x70FE53,ch1,Receive,0x0001,Data,Standard,0x05,x| 1D F7 05 00 00 
01316,="12:36:59.252",0x70FE59,ch1,Receive,0x0000,Data,Standard,0x08,x| 00 00 00 00 00 00 00 00 
01317,="12:36:59.252",0x70FF1C,ch1,Receive,0x04CA,Data,Standard,0x08,x| 05 01 02 01 00 00 00 00 
01318,="12:36:59.281",0x70FF3C,ch1,Receive,0x0040,Data,Standard,0x08,x| 00 01 00 00 00 00 00 00 
01319,="12:36:59.281",0x70FF59,ch1,Receive,0x0080,Data,Standard,0x08,x| 1D 07 04 B2 06 C8 00 00 
01320,="12:36:59.281",0x70FF64,ch1,Receive,0x0060,Data,Standard,0x08,x| 01 00 00 00 00 00 00 00 
01321,="12:36:59.281",0x710048,ch1,Receive,0x0000,Data,Standard,0x08,x| 00 00 00 00 00 00 00 00 
01322,="12:36:59.311",0x71013B,ch1,Receive,0x0040,Data,Standard,0x08,x| 00 01 00 00 00 00 00 00 
01323,="12:36:59.311",0x71014D,ch1,Receive,0x0080,Data,Standard,0x08,x| 1D 08 00 00 78 1B 00 00 
01324,="12:36:59.311",0x710157,ch1,Receive,0x0060,Data,Standard,0x08,x| 01 00 00 00 00 00 00 00 
01325,="12:36:59.341",0x71023B,ch1,Receive,0x0000,Data,Standard,0x08,x| 00 00 00 00 00 00 00 00 
01326,="12:36:59.371",0x710337,ch1,Receive,0x0040,Data,Standard,0x08,x| 00 01 00 00 00 00 00 00 
01327,="12:36:59.371",0x710340,ch1,Receive,0x0080,Data,Standard,0x08,x| 1D 09 10 02 1B 02 0B 00 
01328,="12:36:59.371",0x71034B,ch1,Receive,0x0060,Data,Standard,0x08,x| 01 00 00 00 00 00 00 00 
01329,="12:36:59.401",0x71042F,ch1,Receive,0x0000,Data,Standard,0x08,x| 00 00 00 00 00 00 00 00 
01330,="12:36:59.431",0x710534,ch1,Receive,0x0080,Data,Standard,0x08,x| 1D 0A 00 00 00 00 78 00 
01331,="12:36:59.431",0x710539,ch1,Receive,0x0040,Data,Standard,0x08,x| 00 01 00 00 00 00 00 00 
01332,="12:36:59.431",0x71053E,ch1,Receive,0x0060,Data,Standard,0x08,x| 01 00 00 00 00 00 00 00 
01333,="12:36:59.431",0x710622,ch1,Receive,0x0000,Data,Standard,0x08,x| 00 00 00 00 00 00 00 00 
01334,="12:36:59.461",0x710727,ch1,Receive,0x0080,Data,Standard,0x08,x| 1D 01 20 00 00 81 7E 50 
01335,="12:36:59.461",0x710732,ch1,Receive,0x0060,Data,Standard,0x08,x| 01 00 00 00 00 00 00 00 
01336,="12:36:59.461",0x710737,ch1,Receive,0x0040,Data,Standard,0x08,x| 00 01 00 00 00 00 00 00 
01337,="12:36:59.491",0x71076A,ch1,Receive,0x0001,Data,Standard,0x05,x| 1D F8 01 00 00 
01338,="12:36:59.491",0x71076F,ch1,Receive,0x0081,Data,Standard,0x05,x| 1D F8 01 00 00 
01339,="12:36:59.491",0x710816,ch1,Receive,0x0000,Data,Standard,0x08,x| 00 00 00 00 00 00 00 00 
01340,="12:36:59.522",0x71091A,ch1,Receive,0x0080,Data,Standard,0x08,x| 1D 02 30 20 4A 92 24 49 
01341,="12:36:59.522",0x710925,ch1,Receive,0x0060,Data,Standard,0x08,x| 01 00 00 00 00 00 00 00 
01342,="12:36:59.522",0x710930,ch1,Receive,0x0040,Data,Standard,0x08,x| 00 01 00 00 00 00 00 00 
01343,="12:36:59.551",0x710A09,ch1,Receive,0x0000,Data,Standard,0x08,x| 00 00 00 00 00 00 00 00 
01344,="12:36:59.551",0x710A30,ch1,Receive,0x0001,Data,Standard,0x05,x| 1D F7 03 00 00 
01345,="12:36:59.551",0x710A34,ch1,Receive,0x0081,Data,Standard,0x05,x| 1D F7 03 00 00 
01346,="12:36:59.581",0x710B0E,ch1,Receive,0x0080,Data,Standard,0x08,x| 1D 03 00 00 01 00 07 85 
01347,="12:36:59.581",0x710B18,ch1,Receive,0x0060,Data,Standard,0x08,x| 01 00 00 00 00 00 00 00 
01348,="12:36:59.581",0x710B2C,ch1,Receive,0x0040,Data,Standard,0x08,x| 00 01 00 00 00 00 00 00 
01349,="12:36:59.581",0x710BFC,ch1,Receive,0x0000,Data,Standard,0x08,x| 00 00 00 00 00 00 00 00 
01350,="12:36:59.612",0x710CF5,ch1,Receive,0x0001,Data,Standard,0x05,x| 1D F2 07 00 00 
01351,="12:36:59.612",0x710D01,ch1,Receive,0x0080,Data,Standard,0x08,x| 1D 04 78 78 00 00 D8 00 
01352,="12:36:59.612",0x710D0B,ch1,Receive,0x0081,Data,Standard,0x05,x| 1D F2 07 00 00 
01353,="12:36:59.612",0x710D16,ch1,Receive,0x0060,Data,Standard,0x08,x| 01 00 00 00 00 00 00 00 
01354,="12:36:59.612",0x710D2A,ch1,Receive,0x0040,Data,Standard,0x08,x| 00 01 00 00 00 00 00 00 
